"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","1000.0","421RY949552","","30000.0","Norwich","5000.0","44146.0"
"","1000.0","395TA173771","","49100.0","Essex","49079.0","43979.0"
"","1000.0","439WL637598","","45377.0","East Sussex","45000.0","44246.0"
"","1000.0","30BJ023010","","47200.0","Leeds","5000.0","37742.0"
"","1000.0","250LB054958","","50000.0","Central Bedfordshire","20000.0","42189.0"
"","1000.0","331SG454434","","50000.0","West Midlands","30000.0","43251.0"
"","1000.0","431NH063975","","50000.0","Kent","49750.0","44205.0"
"","1000.0","441YJ918433","","17800.0","Plymouth","6200.0","44256.0"
"","1000.0","327EY929911","","3300.0","Tyne and Wear","25.0","43193.0"
"","1000.0","273XN435517","","50000.0","Hampshire and Isle of Wight","10000.0","42518.0"
"","1000.0","340GF399690","","10100.0","Cardiff and Vale of Glamorgan","500.0","43365.0"
"","1000.0","396ME247604","","40500.0","North East Scotland","40000.0","43983.0"
"","1000.0","431YE277231","","29175.0","Brighton and Hove","1000.0","44208.0"
"","1000.0","180JJ404945","","12100.0","West Midlands","1300.0","40667.0"
"","1000.0","149VP772823","","49995.0","Northern Ireland","5000.0","39835.0"
"","1000.0","264YR078676","","50000.0","Greater Manchester","50000.0","42393.0"
"","1000.0","466GL460430","","10250.0","Avon","10000.0","44415.0"
"","1000.0","80AR047112","","25015.0","Birmingham","5000.0","37653.0"
"","1000.0","190KS143320","","25040.0","Somerset","20000.0","40966.0"
"","1000.0","395QW406404","","41875.0","Cardiff and Vale of Glamorgan","3500.0","43979.0"
"","1000.0","32JQ018668","","5000.0","Kirklees","1000.0","38018.0"
"","1000.0","316WS029411","","50000.0","Outer London","50000.0","43063.0"
"","1000.0","263EM350470","","45745.0","Stockport","3000.0","42367.0"
"","1000.0","282SL100723","","50000.0","North East Scotland","10000.0","42641.0"
"","1000.0","413NH729031","","5050.0","Kirklees","5000.0","44091.0"
"","1000.0","234ZM843017","","15170.0","Staffordshire","1920.0","41955.0"
"","1000.0","461GM131868","","33061.0","Leicester","10001.0","44377.0"
"","1000.0","274NZ157457","","50000.0","Glasgow, City of","4000.0","42529.0"
"","1000.0","382GR569062","","50000.0","Devon","50000.0","43863.0"
"","1000.0","467AT895833","","20200.0","South West Wales","10000.0","44422.0"
